x,y,c
39.28615,-76.64598,1
39.34986,-76.68667,4
39.32027,-76.67559,4
39.32027,-76.67559,4
39.32027,-76.67559,4
39.35511,-76.71084,4
39.23458,-76.59662,5
39.35412,-76.69950,4
39.29105,-76.63100,1
39.22958,-76.60162,5
39.31089,-76.63438,7
39.31089,-76.63438,7
39.34178,-76.60343,3
39.29529,-76.59129,2
39.29529,-76.59129,2
39.32156,-76.59128,3
39.32156,-76.59128,3
39.29714,-76.68048,8
39.31645,-76.61687,2
39.33141,-76.55873,0
39.27527,-76.69414,8
39.30602,-76.63203,7
39.30961,-76.56295,6
39.37022,-76.59248,3
39.33459,-76.67418,4
39.30895,-76.65510,7
39.32039,-76.60951,3
39.34362,-76.65230,4
39.30515,-76.66813,8
39.35212,-76.68867,4
39.29906,-76.57605,6
39.32529,-76.66169,7
39.33123,-76.69897,4
39.31683,-76.56285,6
39.29619,-76.57783,6
39.35258,-76.66524,4
39.34539,-76.68962,4
39.29433,-76.56829,6
39.22866,-76.59760,5
39.31188,-76.60951,2
39.29333,-76.57722,6
39.32465,-76.61221,3
39.31778,-76.61783,7
39.35316,-76.68322,4
39.30732,-76.57996,6
39.29104,-76.63825,1
39.33872,-76.68596,4
39.25830,-76.66262,1
39.33758,-76.63487,7
39.33770,-76.57244,0
39.30024,-76.61857,2
39.28511,-76.64860,1
39.28771,-76.60696,2
39.28388,-76.65512,1
39.32550,-76.60618,3
39.29349,-76.57183,6
39.37134,-76.60982,3
39.28505,-76.63861,1
39.34315,-76.67494,4
39.29106,-76.63245,1
39.32698,-76.68129,4
39.34010,-76.61084,3
39.36156,-76.58231,3
39.31665,-76.59543,2
39.31033,-76.64277,7
39.31028,-76.70755,8
39.30862,-76.65508,7
39.33296,-76.66339,4
39.28633,-76.64374,1
39.29599,-76.58357,6
39.30287,-76.66721,8
39.30287,-76.66721,8
39.30287,-76.66721,8
39.25555,-76.64276,1
39.25555,-76.64276,1
39.35521,-76.60695,3
39.28862,-76.63674,1
39.35893,-76.61044,3
39.29618,-76.57933,6
39.32316,-76.59344,3
39.28936,-76.56730,6
39.28651,-76.57056,6
39.29630,-76.57211,6
39.28882,-76.62221,2
39.28055,-76.61581,2
39.35448,-76.66237,4
39.35801,-76.61149,3
39.31821,-76.60205,2
39.35426,-76.59933,3
39.26703,-76.65112,1
39.30888,-76.58417,6
39.31592,-76.57672,6
39.36747,-76.57134,0
39.29219,-76.66173,8
39.30143,-76.54384,6
39.29178,-76.57470,6
39.31279,-76.62968,7
39.27871,-76.66349,1
39.34072,-76.65959,4
39.37064,-76.54561,0
39.34387,-76.62971,3
39.36474,-76.58482,3
39.28527,-76.64510,1
39.31853,-76.61973,7
39.27979,-76.62804,1
39.26449,-76.65493,1
39.28756,-76.56908,6
39.32215,-76.60946,3
39.29694,-76.65538,1
39.34064,-76.54348,0
39.30920,-76.64054,7
39.35921,-76.70652,4
39.31648,-76.57819,6
39.34301,-76.68369,4
39.30418,-76.57983,6
39.35249,-76.54284,0
39.29870,-76.58651,6
39.31080,-76.65106,7
39.29753,-76.61993,2
39.26119,-76.65854,1
39.34459,-76.65908,4
39.29789,-76.57934,6
39.30145,-76.58108,6
39.28761,-76.53982,6
39.33831,-76.65704,4
39.31466,-76.63610,7
39.28839,-76.61255,2
39.32526,-76.62913,7
39.23256,-76.60934,5
39.30784,-76.65503,7
39.28066,-76.63538,1
39.31582,-76.62920,7
39.30384,-76.57934,6
39.34643,-76.67080,4
39.28862,-76.63674,1
39.23217,-76.59693,5
39.29865,-76.58623,6
39.27258,-76.61593,2
39.31992,-76.57472,6
39.27931,-76.63643,1
39.25460,-76.65250,1
39.32589,-76.67059,4
39.32884,-76.66919,4
39.29824,-76.59760,2
39.32928,-76.67753,4
39.33290,-76.67022,4
39.33290,-76.67022,4
39.29804,-76.57867,6
39.29305,-76.61971,2
39.30495,-76.58820,2
39.30495,-76.58820,2
39.29037,-76.61456,2
39.28650,-76.61535,2
39.29583,-76.64647,1
39.27762,-76.61438,2
39.29348,-76.57772,6
39.29348,-76.57772,6
39.28875,-76.63812,1
39.35022,-76.68925,4
39.36647,-76.61960,3
39.35180,-76.68340,4
39.32740,-76.60938,3
39.33070,-76.61496,3
39.31111,-76.58746,2
39.33699,-76.66820,4
39.30102,-76.62517,2
39.27514,-76.60610,2
39.30907,-76.58572,6
39.29545,-76.57344,6
39.30063,-76.61589,2
39.30492,-76.60628,2
39.34055,-76.68120,4
39.29254,-76.61350,2
39.34154,-76.62626,3
39.28901,-76.64148,1
39.28097,-76.67274,8
39.29439,-76.57255,6
39.28288,-76.63260,1
39.30722,-76.66496,8
39.28390,-76.57986,6
39.35502,-76.55069,0
39.28816,-76.64770,1
39.29350,-76.69266,8
39.28721,-76.54557,6
39.29722,-76.60395,2
39.29722,-76.60395,2
39.29722,-76.60395,2
39.33409,-76.55746,0
39.29349,-76.57183,6
39.28246,-76.56851,6
39.29171,-76.61531,2
39.30416,-76.62610,7
39.35084,-76.67250,4
39.34690,-76.67790,4
39.33857,-76.65914,4
39.30000,-76.57898,6
39.35902,-76.70627,4
39.34131,-76.54711,0
39.28646,-76.59349,2
39.27293,-76.67423,8
39.31868,-76.65399,7
39.31790,-76.54827,0
39.33901,-76.66008,4
39.32854,-76.60847,3
39.29901,-76.64023,7
39.36797,-76.68319,4
39.27884,-76.54266,6
39.23368,-76.59388,5
39.29734,-76.68142,8
39.30550,-76.64062,7
39.30258,-76.61154,2
39.29437,-76.56739,6
39.33434,-76.65987,4
39.29300,-76.57006,6
39.29135,-76.60779,2
39.29217,-76.58749,6
39.33076,-76.54320,0
39.31605,-76.65658,7
39.29776,-76.65403,1
39.31013,-76.64169,7
39.28293,-76.64376,1
39.28973,-76.60963,2
39.29007,-76.56353,6
39.31212,-76.59525,2
39.32348,-76.58766,3
39.34927,-76.53685,0
39.29718,-76.66333,8
39.31578,-76.65245,7
39.32636,-76.60644,3
39.32329,-76.59646,3
39.26757,-76.65152,1
39.34064,-76.54348,0
39.35973,-76.59133,3
39.33769,-76.66380,4
39.28416,-76.64674,1
39.33851,-76.65938,4
39.28654,-76.59449,2
39.33985,-76.66074,4
39.29621,-76.63088,1
39.31354,-76.56583,6
39.27605,-76.54162,6
39.25131,-76.64253,1
39.32737,-76.56543,0
39.30124,-76.64312,7
39.30140,-76.61970,2
39.31303,-76.63321,7
39.29930,-76.62075,2
39.32774,-76.65943,7
39.29390,-76.62131,2
39.27972,-76.66435,1
39.29375,-76.62337,2
39.27582,-76.61372,2
39.27408,-76.62769,1
39.34426,-76.64051,7
39.32774,-76.65943,7
39.30803,-76.65257,7
39.29195,-76.58475,6
39.28623,-76.62092,2
39.30045,-76.64845,7
39.33946,-76.67002,4
39.28973,-76.61022,2
39.32084,-76.69837,4
39.30820,-76.66487,8
39.32430,-76.60808,3
39.28701,-76.55641,6
39.31237,-76.59029,2
39.24661,-76.63584,5
39.29131,-76.63833,1
39.31165,-76.59166,2
39.28036,-76.65391,1
39.25291,-76.65227,1
39.28880,-76.61086,2
39.29135,-76.57256,6
39.30764,-76.63757,7
39.33173,-76.66378,4
39.29333,-76.57722,6
39.28795,-76.54289,6
39.29387,-76.68192,8
39.35002,-76.60748,3
39.27927,-76.63505,1
39.30969,-76.56306,6
39.31943,-76.57076,6
39.28783,-76.53711,6
39.28335,-76.63390,1
39.30990,-76.58857,2
39.34177,-76.65974,4
39.29849,-76.62421,2
39.29657,-76.57064,6
39.36210,-76.71032,4
39.36133,-76.70282,4
39.29363,-76.58406,6
39.27283,-76.62958,1
39.30482,-76.60819,2
39.30542,-76.59373,2
39.27891,-76.62386,1
39.28667,-76.56499,6
39.29917,-76.62362,2
39.28496,-76.55703,6
39.27474,-76.61136,2
39.28706,-76.55422,6
39.35098,-76.67067,4
39.29713,-76.60407,2
39.28093,-76.67228,8
39.28519,-76.64681,1
39.28842,-76.59944,2
39.34685,-76.67502,4
39.27142,-76.67666,8
39.28350,-76.56882,6
39.30941,-76.62907,7
39.33723,-76.53846,0
39.25080,-76.63091,5
39.27758,-76.62450,1
39.29565,-76.70363,8
39.28696,-76.58563,6
39.28361,-76.64490,1
39.34682,-76.54838,0
39.29768,-76.60184,2
39.29152,-76.56495,6
39.25008,-76.62282,5
39.29090,-76.57613,6
39.30121,-76.61594,2
39.29789,-76.66893,8
39.26761,-76.58971,6
39.28362,-76.67214,8
39.30725,-76.59960,2
39.35023,-76.60974,3
39.23360,-76.60545,5
39.31802,-76.61123,2
39.30145,-76.64455,7
39.23774,-76.60288,5
39.29481,-76.57081,6
39.23845,-76.60961,5
39.28828,-76.57012,6
39.28676,-76.60781,2
39.30862,-76.56003,6
39.29769,-76.56980,6
39.29394,-76.62124,2
39.29811,-76.64586,7
39.32601,-76.59357,3
39.32601,-76.59357,3
39.31699,-76.63392,7
39.27984,-76.62410,1
39.28847,-76.54663,6
39.26453,-76.65479,1
39.33680,-76.65994,4
39.28162,-76.63794,1
39.31428,-76.68014,8
39.28162,-76.63794,1
39.28162,-76.63794,1
39.29335,-76.57625,6
39.31462,-76.63618,7
39.30947,-76.62464,7
39.29125,-76.56937,6
39.28968,-76.61210,2
39.30692,-76.62198,2
39.34588,-76.54069,0
39.31995,-76.62220,7
39.27408,-76.62769,1
39.27978,-76.68268,8
39.23726,-76.60540,5
39.36763,-76.57287,0
39.33665,-76.61983,3
39.29176,-76.55985,6
39.28792,-76.58717,6
39.28792,-76.58717,6
39.26870,-76.65279,1
39.23923,-76.60445,5
39.29098,-76.59315,2
39.29194,-76.67267,8
39.27567,-76.61758,2
39.31117,-76.61656,2
39.31133,-76.61661,2
39.29669,-76.62012,2
39.34540,-76.67783,4
39.29614,-76.57861,6
39.29350,-76.69257,8
39.31529,-76.67307,8
39.32000,-76.59553,3
39.34483,-76.70096,4
39.29419,-76.57487,6
39.28954,-76.61533,2
39.29056,-76.64803,1
39.31522,-76.64530,7
39.28436,-76.56697,6
39.28449,-76.56867,6
39.28862,-76.60950,2
39.30432,-76.67226,8
39.29732,-76.58365,6
39.33782,-76.66144,4
39.31889,-76.59870,3
39.28926,-76.60210,2
39.28844,-76.64010,1
39.28980,-76.57320,6
39.28169,-76.68388,8
39.28174,-76.61279,2
39.36271,-76.69309,4
39.26497,-76.64944,1
39.34495,-76.59712,3
39.33639,-76.63794,7
39.30727,-76.62990,7
39.32098,-76.62300,7
39.32731,-76.60945,3
39.28146,-76.59407,2
39.28857,-76.56664,6
39.30176,-76.68552,8
39.33724,-76.60407,3
39.32063,-76.68636,4
39.28935,-76.61941,2
39.29119,-76.61400,2
39.29814,-76.66314,8
39.29541,-76.57715,6
39.29982,-76.61785,2
39.30592,-76.57944,6
39.28977,-76.60985,2
39.28358,-76.53249,6
39.31529,-76.67696,8
39.33271,-76.63550,7
39.34242,-76.66235,4
39.27355,-76.67137,8
39.36601,-76.57230,0
39.29187,-76.65153,1
39.35610,-76.57754,3
39.28596,-76.58345,6
39.33431,-76.68187,4
39.29739,-76.65951,8
39.31398,-76.61257,2
39.29491,-76.64127,1
39.31544,-76.61269,2
39.31544,-76.61269,2
39.33447,-76.60919,3
39.26851,-76.58869,6
39.35467,-76.53960,0
39.31193,-76.58309,6
39.29877,-76.62879,7
39.29800,-76.62785,2
39.29450,-76.66501,8
39.29800,-76.62785,2
39.36407,-76.61110,3
39.30455,-76.63166,7
39.33327,-76.68298,4
39.29710,-76.57258,6
39.30980,-76.57309,6
39.29767,-76.57438,6
39.29248,-76.57034,6
39.32530,-76.56895,0
39.25137,-76.61498,5
39.34405,-76.67684,4
39.29320,-76.60817,2
39.31147,-76.58383,6
39.28313,-76.69892,8
39.33729,-76.60737,3
39.32331,-76.61458,3
39.28829,-76.57005,6
39.33231,-76.66372,4
39.33231,-76.66372,4
39.30393,-76.62639,7
39.25377,-76.65422,1
39.33262,-76.66319,4
39.33262,-76.66319,4
39.33262,-76.66319,4
39.29365,-76.57338,6
39.28541,-76.56994,6
39.29173,-76.57540,6
39.32755,-76.68246,4
39.32714,-76.68159,4
39.34445,-76.68562,4
39.35266,-76.60976,3
39.28205,-76.57895,6
39.27363,-76.61412,2
39.29600,-76.66504,8
39.31330,-76.64624,7
39.28653,-76.61355,2
39.24844,-76.62360,5
39.34593,-76.59356,3
39.34408,-76.66716,4
39.27408,-76.62769,1
39.29299,-76.57030,6
39.32057,-76.62427,7
39.28810,-76.64772,1
39.29298,-76.62119,2
39.35885,-76.67769,4
39.27432,-76.53624,6
39.29236,-76.58695,6
39.31946,-76.56268,0
39.31800,-76.65821,7
39.30948,-76.62319,7
39.28664,-76.59221,2
39.36662,-76.65175,4
39.26682,-76.64945,1
39.22788,-76.59950,5
39.34424,-76.68246,4
39.33185,-76.56185,0
39.36687,-76.60630,3
39.32923,-76.68887,4
39.28043,-76.54569,6
39.31026,-76.63854,7
39.32829,-76.60928,3
39.31196,-76.59922,2
39.33229,-76.59771,3
39.29470,-76.57558,6
39.35461,-76.58988,3
39.31354,-76.61804,2
39.30007,-76.58525,6
39.28664,-76.55291,6
39.30070,-76.59772,2
39.27321,-76.52980,6
39.27209,-76.61612,2
39.28780,-76.60150,2
39.23407,-76.60699,5
39.28567,-76.56605,6
39.29758,-76.59087,2
39.28938,-76.61967,2
39.28154,-76.59068,2
39.28659,-76.64878,1
39.32829,-76.66149,4
39.29339,-76.69559,8
39.30400,-76.63527,7
39.29339,-76.69559,8
39.36365,-76.53957,0
39.32359,-76.54307,0
39.32090,-76.67507,4
39.33235,-76.70277,4
39.31819,-76.57237,6
39.32926,-76.66126,4
39.29758,-76.59087,2
39.36989,-76.64456,4
39.31591,-76.57850,6
39.32919,-76.54154,0
39.30704,-76.63195,7
39.27146,-76.61594,2
39.37005,-76.64618,4
39.26461,-76.65030,1
39.34996,-76.61211,3
39.31282,-76.65361,7
39.30980,-76.57309,6
39.27355,-76.67137,8
39.27355,-76.67137,8
39.29374,-76.61050,2
39.31560,-76.54097,0
39.29298,-76.62119,2
39.28128,-76.62870,1
39.26157,-76.66657,1
39.32914,-76.53120,0
39.37156,-76.58695,3
39.30945,-76.65488,7
39.33798,-76.66302,4
39.28963,-76.61182,2
39.29309,-76.66154,8
39.29545,-76.57344,6
39.28580,-76.67901,8
39.34423,-76.66485,4
39.28274,-76.63537,1
39.35107,-76.59332,3
39.23014,-76.60376,5
39.28862,-76.67339,8
39.28966,-76.57176,6
39.35362,-76.55900,0
39.28628,-76.61945,2
39.28628,-76.61945,2
39.29861,-76.58776,6
39.35574,-76.70303,4
39.28381,-76.63995,1
39.28381,-76.63995,1
39.29885,-76.58139,6
39.30803,-76.65257,7
39.36381,-76.70685,4
39.28316,-76.64515,1
39.31751,-76.67053,8
39.27145,-76.60084,2
39.34077,-76.69429,4
39.29213,-76.64128,1
39.29590,-76.57589,6
39.29045,-76.62021,2
39.31877,-76.59787,3
39.29169,-76.61245,2
39.31470,-76.63807,7
39.33756,-76.63474,7
39.34655,-76.54321,0
39.28512,-76.64828,1
39.30986,-76.61557,2
39.31365,-76.61112,2
39.31365,-76.61112,2
39.30050,-76.59778,2
39.30050,-76.59778,2
39.33334,-76.63570,7
39.29818,-76.59994,2
39.29818,-76.59994,2
39.35450,-76.53094,0
39.29277,-76.68060,8
39.33696,-76.62453,3
39.21539,-76.58757,5
39.32174,-76.57751,0
39.22886,-76.59820,5
39.31868,-76.65399,7
39.28847,-76.58598,6
39.29426,-76.58627,6
39.31148,-76.55963,6
39.29024,-76.53823,6
39.29048,-76.53914,6
39.31601,-76.65640,7
39.31601,-76.65640,7
39.30387,-76.63511,7
39.28849,-76.59362,2
39.35337,-76.68843,4
39.29720,-76.61290,2
39.28783,-76.66017,1
39.29683,-76.61998,2
39.31154,-76.58299,6
39.27765,-76.61747,2
39.31289,-76.62720,7
39.29545,-76.57344,6
39.28522,-76.61995,2
39.31732,-76.67524,8
39.28761,-76.53982,6
39.29477,-76.64559,1
39.29060,-76.58855,2
39.31114,-76.61812,2
39.26761,-76.58972,2
39.26273,-76.64069,1
39.25137,-76.61498,5
39.34683,-76.69832,4
39.36541,-76.59701,3
39.29367,-76.61546,2
39.29451,-76.66302,8
39.28601,-76.58199,6
39.29116,-76.57464,6
39.29491,-76.61985,2
39.36409,-76.61211,3
39.28810,-76.64888,1
39.31524,-76.67299,8
39.29407,-76.59062,2
39.27703,-76.56732,6
39.28941,-76.61231,2
39.28631,-76.64229,1
39.36818,-76.56682,0
39.35527,-76.67877,4
39.29656,-76.70887,8
39.35576,-76.56303,0
39.35576,-76.56303,0
39.35576,-76.56303,0
39.32122,-76.55404,0
39.28600,-76.68620,8
39.30704,-76.64803,7
39.31148,-76.55963,6
39.28853,-76.63825,1
39.32448,-76.53918,0
39.29636,-76.66068,8
39.33448,-76.60017,3
39.29771,-76.57213,6
39.34286,-76.69169,4
39.27690,-76.68672,8
39.32914,-76.53120,0
39.23385,-76.59812,5
39.33619,-76.63527,7
